dataset,cluster_id,rank_by_current_heuristic,pipeline_selected,point_count,point_ratio_input,bbox_extent_xyz,bbox_volume_m3,centroid,density_points_per_m3,distance_to_global_center_m,distance_to_ground_plane_m,convex_hull_volume_m3,occupancy_ratio,count_ratio_to_main,plausible_woodpile,passes_min_component_ratio,discard_reasons
set1,14,1,True,12247,0.389226,"[7.105177, 5.447449, 3.469413]",134.283931,"[6.312674, 1.958857, 0.192722]",91.202275,4.410151,23.940041,21.856377,0.091133,1.0,True,True,[]
set1,1,2,False,7156,0.227427,"[3.216189, 7.765318, 0.820351]",20.488038,"[2.918005, -5.0966, -4.254787]",349.276975,4.829144,20.755098,10.189723,0.291466,0.584306,False,True,"['axis_ratio_exceeds_max_component_axis_ratio', 'not_plausible_woodpile']"
set1,0,3,True,3552,0.112887,"[4.697708, 3.038216, 0.592068]",8.450375,"[7.406566, -3.003147, -4.200375]",420.336368,3.111914,20.912039,4.262512,0.331984,0.29003,True,True,[]
set1,2,4,False,2402,0.076339,"[3.966999, 4.808139, 6.933174]",132.242558,"[7.687205, -5.93787, -0.598727]",18.163593,4.765763,22.170396,7.328595,0.024442,0.19613,True,True,['not_in_top_max_components_after_ranking']
set1,7,5,False,533,0.016939,"[1.223268, 1.371504, 1.810712]",3.037861,"[4.243972, -9.474578, -0.386302]",175.452396,7.900422,24.240832,0.794528,0.279167,0.043521,True,False,['below_min_component_ratio']
set1,41,6,False,450,0.014302,"[2.035449, 1.864668, 1.273149]",4.832154,"[-6.742779, 12.571983, -24.756315]",93.126164,29.704466,0.0,0.50261,0.12963,0.036744,True,False,['below_min_component_ratio']
set1,31,7,False,417,0.013253,"[2.648789, 1.477246, 1.311866]",5.133218,"[9.171352, -0.902606, -0.499681]",81.235588,3.934944,24.361037,0.694809,0.133838,0.034049,True,False,['below_min_component_ratio']
set1,10,8,False,407,0.012935,"[0.729422, 1.606479, 1.548159]",1.814134,"[12.719302, -9.805563, 5.246768]",224.349444,12.845358,29.8946,0.450522,0.37415,0.033233,True,False,['below_min_component_ratio']
set1,20,9,False,373,0.011854,"[0.910968, 1.732847, 0.985752]",1.556076,"[6.248658, -8.328468, -2.870392]",239.70557,6.577334,22.085573,0.441389,0.375,0.030456,True,False,['below_min_component_ratio']
set1,13,10,False,321,0.010202,"[0.40257, 1.607521, 1.749164]",1.131954,"[12.891567, -3.539129, 4.785599]",283.580537,10.031536,29.259813,0.298057,0.336735,0.026211,True,False,['below_min_component_ratio']
set1,8,11,False,261,0.008295,"[0.961979, 1.447681, 0.981067]",1.366273,"[5.621415, -8.961895, -1.736457]",191.030682,7.11487,23.22356,0.361024,0.375,0.021311,True,False,['below_min_component_ratio']
set1,34,12,False,220,0.006992,"[1.175318, 0.940894, 0.350668]",0.387786,"[-0.187486, 0.700182, 0.732372]",567.322903,6.88195,25.98847,0.110188,0.5,0.017964,True,False,['below_min_component_ratio']
set1,18,13,False,122,0.003877,"[0.853112, 0.280608, 0.889526]",0.212944,"[5.606638, -10.052223, -2.325267]",572.920867,8.212637,22.497224,0.065025,0.46875,0.009962,True,False,['below_min_component_ratio']
set1,39,14,False,109,0.003464,"[0.981534, 1.243075, 0.478683]",0.58405,"[9.765876, 0.110609, -0.672866]",186.62773,4.746986,24.477422,0.025463,0.325,0.0089,True,False,['below_min_component_ratio']
set1,16,15,False,87,0.002765,"[0.237509, 1.937505, 0.815638]",0.375337,"[6.371509, -0.407918, 1.891007]",231.79195,4.144693,26.844129,0.003901,0.34375,0.007104,False,False,"['below_min_component_ratio', 'axis_ratio_exceeds_max_component_axis_ratio', 'not_plausible_woodpile']"
set1,9,16,False,85,0.002701,"[0.397421, 0.715069, 0.204023]",0.05798,"[9.437019, -9.664008, -3.114055]",1466.022612,8.775019,22.140624,0.021062,1.0,0.00694,True,False,['below_min_component_ratio']
set1,32,17,False,74,0.002352,"[0.800401, 0.773469, 0.470324]",0.29117,"[10.418587, 0.586825, 0.863145]",254.146773,6.054417,25.965662,0.023565,0.3125,0.006042,True,False,['below_min_component_ratio']
set1,46,18,False,73,0.00232,"[0.4563, 0.748058, 0.264118]",0.090154,"[-12.111039, 11.154397, -7.061432]",809.728837,22.586437,18.183927,0.011025,0.5,0.005961,True,False,['below_min_component_ratio']
set1,6,19,False,70,0.002225,"[0.437719, 0.502843, 0.571223]",0.125728,"[4.594324, -6.897539, -4.333025]",556.755926,5.688418,20.752638,0.028735,0.444444,0.005716,True,False,['below_min_component_ratio']
set1,40,20,False,70,0.002225,"[0.567951, 0.449083, 0.302582]",0.077176,"[-6.473414, 10.602104, -24.861582]",907.020913,28.768829,0.31195,0.013313,0.833333,0.005716,True,False,['below_min_component_ratio']
set1,11,21,False,66,0.002098,"[0.546235, 0.525138, 0.28278]",0.081115,"[7.921708, -3.290442, -0.292273]",813.658697,3.162375,24.908858,0.018848,0.388889,0.005389,True,False,['below_min_component_ratio']
set1,29,22,False,61,0.001939,"[0.256345, 0.469305, 0.233007]",0.028032,"[6.172422, -4.777523, -5.572443]",2176.113592,4.710583,19.684853,0.010352,0.75,0.004981,True,False,['below_min_component_ratio']
set1,47,23,False,59,0.001875,"[0.398407, 0.139699, 0.676904]",0.037674,"[9.282961, -9.91899, -2.049338]",1566.048065,8.859922,22.966218,0.006262,0.833333,0.004818,True,False,['below_min_component_ratio']
set1,35,24,False,59,0.001875,"[0.895739, 0.134785, 0.13448]",0.016236,"[-0.992748, -6.618323, 2.566402]",3633.87643,9.312304,27.875506,0.005909,1.0,0.004818,True,False,['below_min_component_ratio']
set1,25,25,False,58,0.001843,"[0.815396, 0.683674, 0.314841]",0.175513,"[7.100629, -7.898418, -3.364533]",330.46054,6.390548,21.85215,0.041991,0.458333,0.004736,True,False,['below_min_component_ratio']
set1,56,26,False,55,0.001748,"[0.212358, 0.582942, 0.218995]",0.02711,"[8.451657, -5.216756, -1.60695]",2028.779865,4.406407,23.631882,0.008357,1.0,0.004491,True,False,['below_min_component_ratio']
set1,19,27,False,55,0.001748,"[0.32449, 0.356036, 0.333194]",0.038494,"[3.385321, -8.811952, -4.123148]",1428.795007,7.638238,21.075061,0.005365,0.625,0.004491,True,False,['below_min_component_ratio']
set1,28,28,False,48,0.001526,"[0.477299, 0.512717, 0.348733]",0.085342,"[7.435086, -4.690038, -1.531799]",562.443633,3.389768,23.619232,0.010394,0.416667,0.003919,True,False,['below_min_component_ratio']
set1,3,29,False,48,0.001526,"[0.536871, 0.29086, 0.217518]",0.033967,"[8.179213, -4.930918, -3.906276]",1413.156385,4.465648,21.367814,0.0081,0.833333,0.003919,True,False,['below_min_component_ratio']
