bbox_volume_m3,bbox_x_m,bbox_y_m,bbox_z_m,dataset,density_points_per_m3,mean_nn_distance_m,median_nn_distance_m,point_count,points_removed_from_previous,removed_ratio_from_previous,scale_factor_m_per_unit,stage
34178.953655,29.503055,28.359483,40.850133,set1,11.757908,0.009882,0.00907,401873,,,,nodeodm_raw_point_cloud
34178.953655,29.503055,28.359483,40.850133,set1,11.757908,0.009882,0.00907,401873,,,1.0,metric_scaled_cloud
24096.383622,28.727926,25.274774,33.186413,set1,16.540324,0.009596,0.00906,398562,3311,0.008239,,cleaned_cloud
438.24735,7.105177,9.493006,6.497416,set1,36.050418,0.035924,0.036206,15799,382763,0.96036,,pdi_input_cloud
684.810396,8.984155,14.980714,5.088158,set1,29.028473,0.03645,0.03681,19879,,,,benchmark_experimental_pdi_input
1266.406363,12.329557,11.33945,9.058028,set2,293.559801,0.002234,0.001123,371766,,,,nodeodm_raw_point_cloud
1266.406363,12.329557,11.33945,9.058028,set2,293.559801,0.002234,0.001123,371766,,,1.0,metric_scaled_cloud
1187.996792,11.909535,11.292351,8.833567,set2,306.537865,0.001957,0.001114,364166,7600,0.020443,,cleaned_cloud
538.042284,8.137795,9.814177,6.736833,set2,6.092458,0.032287,0.031672,3278,360888,0.990999,,pdi_input_cloud
388.358359,6.79913,9.099231,6.277325,set2,67.239444,0.038123,0.039463,26113,,,,benchmark_experimental_pdi_input
