bbox_extent_m,bbox_max,bbox_min,bbox_volume_m3,centroid,classification,cluster_id,density_points_per_m3,distance_to_aruco_center_m,distance_to_main_centroid_m,point_count,point_percent_total,rank,selected_by_pipeline,source
"[23.552737, 19.529496, 8.354078]",,,3842.651037,,castillo + fuga dominante (suelo/fondo conectado),0,36.534153,,,140388,95.6713,1,True,validation_result_exact_top10
"[5.082526, 4.594227, 0.896534]",,,20.934314,,suelo / plano bajo,27,25.17398,,,527,0.3591,2,True,validation_result_exact_top10
"[1.172711, 2.024215, 2.374816]",,,5.637387,,vegetacion / fondo vertical,48,63.681984,,,359,0.2447,3,True,validation_result_exact_top10
"[1.429202, 4.25546, 0.304129]",,,1.849687,,suelo / plano bajo,3,189.221169,,,350,0.2385,4,False,validation_result_exact_top10
"[3.389521, 2.069847, 0.727644]",,,5.104998,,suelo / plano bajo,55,67.580825,,,345,0.2351,5,False,validation_result_exact_top10
"[2.047485, 2.248338, 0.498469]",,,2.29467,,suelo / plano bajo,42,143.375739,,,329,0.2242,6,False,validation_result_exact_top10
"[1.146271, 1.466444, 1.540873]",,,2.590119,,vegetacion / fondo vertical,47,107.330971,,,278,0.1895,7,False,validation_result_exact_top10
"[2.037107, 1.086423, 0.594072]",,,1.314776,,suelo / plano bajo,76,209.161039,,,275,0.1874,8,False,validation_result_exact_top10
"[2.427805, 1.745791, 1.023424]",,,4.337719,,vegetacion / fondo vertical,52,57.40344,,,249,0.1697,9,False,validation_result_exact_top10
"[2.355548, 0.49548, 0.701366]",,,0.818583,,suelo / plano bajo,84,262.648862,,,215,0.1465,10,False,validation_result_exact_top10
"[23.884546, 23.188363, 8.951491]","[19.209284, 11.524909, 6.492103]","[-4.675262, -11.663454, -2.459388]",4957.725482,"[7.219782, 2.834809, 2.352425]",castillo + fuga dominante (suelo/fondo conectado),0,17.333957,7.49271,0.0,85937,95.485556,1,True,diagnostic_rederived
"[1.815107, 4.58886, 0.314478]","[11.234654, 2.885376, 6.458817]","[9.419547, -1.703484, 6.14434]",2.619372,"[10.1113, 0.961466, 6.286978]",suelo / plano bajo,10,120.639581,11.494178,5.229818,316,0.351111,2,False,diagnostic_rederived
"[3.486418, 2.068296, 0.731865]","[4.806376, 3.077555, 7.887051]","[1.319958, 1.009259, 7.155185]",5.277441,"[3.272863, 2.01252, 7.535366]",suelo / plano bajo,40,43.013268,8.170571,6.56637,227,0.252222,3,False,diagnostic_rederived
"[1.170811, 1.504191, 1.688907]","[11.34503, 12.343309, 8.536272]","[10.174219, 10.839118, 6.847365]",2.974374,"[10.819621, 11.58539, 7.560642]",vegetacion / fondo vertical,55,69.930684,16.927603,10.800789,208,0.231111,4,False,diagnostic_rederived
"[2.867081, 1.93634, 1.053954]","[19.497984, 2.129582, 2.132232]","[16.630903, 0.193242, 1.078278]",5.851175,"[18.223495, 1.153796, 1.491431]",vegetacion / fondo vertical,15,31.959391,17.798148,11.164623,187,0.207778,5,False,diagnostic_rederived
"[1.636339, 2.244583, 0.539417]","[-4.029762, 5.505099, 0.30674]","[-5.666101, 3.260516, -0.232677]",1.981224,"[-4.878521, 4.370218, 0.033281]",suelo / plano bajo,49,90.852948,6.626325,12.413897,180,0.2,6,False,diagnostic_rederived
"[2.378324, 0.495304, 0.699922]","[-2.811241, -5.865099, -0.620782]","[-5.189565, -6.360403, -1.320704]",0.824503,"[-3.923305, -6.120777, -0.986857]",suelo / plano bajo,20,168.586431,8.023354,14.680657,139,0.154444,7,False,diagnostic_rederived
"[0.775812, 1.859919, 1.448906]","[6.970832, 5.149594, -4.413587]","[6.19502, 3.289675, -5.862493]",2.090695,"[6.65443, 4.256184, -4.983955]",vegetacion / fondo vertical,67,55.005637,8.765029,7.494158,115,0.127778,8,False,diagnostic_rederived
"[1.3967, 0.867024, 1.668131]","[5.387916, 15.081977, 4.399854]","[3.991215, 14.214952, 2.731723]",2.020062,"[4.64783, 14.833247, 3.530317]",vegetacion / fondo vertical,57,35.147437,15.333284,12.327404,71,0.078889,9,False,diagnostic_rederived
"[1.519794, 0.884718, 0.466949]","[-0.191806, -10.76062, -0.896703]","[-1.7116, -11.645338, -1.363652]",0.627854,"[-1.04576, -11.316183, -1.117389]",suelo / plano bajo,12,113.08358,11.969132,16.751399,71,0.078889,10,False,diagnostic_rederived
"[1.630247, 2.195097, 0.287326]","[-0.247121, 8.66433, 0.413733]","[-1.877368, 6.469233, 0.126407]",1.02821,"[-1.027547, 7.598882, 0.279157]",suelo / plano bajo,27,62.244117,7.266736,9.747475,64,0.071111,11,True,diagnostic_rederived
"[0.917049, 0.677024, 0.380211]","[20.819397, 0.806246, 1.851043]","[19.902348, 0.129222, 1.470832]",0.236059,"[20.330429, 0.514421, 1.681876]",suelo / plano bajo,13,254.173298,19.901629,13.331276,60,0.066667,12,False,diagnostic_rederived
"[2.12575, 0.748468, 0.510199]","[-3.546432, -8.052274, -0.881946]","[-5.672182, -8.800742, -1.392145]",0.811756,"[-4.570272, -8.334828, -1.097842]",suelo / plano bajo,18,70.218148,10.245345,16.603328,57,0.063333,13,False,diagnostic_rederived
"[0.309424, 1.16026, 0.364062]","[-2.322165, 10.344852, 0.071793]","[-2.631589, 9.184592, -0.292269]",0.130703,"[-2.505767, 9.752368, -0.100072]",suelo / plano bajo,83,413.15145,9.728873,12.184156,54,0.06,14,False,diagnostic_rederived
"[1.060951, 0.657606, 0.219873]","[15.818355, 0.787451, 1.874867]","[14.757403, 0.129845, 1.654994]",0.153403,"[15.246097, 0.485362, 1.75115]",suelo / plano bajo,80,332.457727,14.849718,8.384699,51,0.056667,15,False,diagnostic_rederived
"[0.615661, 0.516277, 0.396954]","[-1.374434, 9.063575, -0.460874]","[-1.990096, 8.547297, -0.857827]",0.126173,"[-1.710585, 8.820324, -0.622326]",suelo / plano bajo,88,380.431307,8.631441,11.154685,48,0.053333,16,False,diagnostic_rederived
"[0.911835, 0.46165, 0.308372]","[7.378197, 11.734937, -0.356584]","[6.466362, 11.273287, -0.664956]",0.129809,"[6.912432, 11.463524, -0.529645]",suelo / plano bajo,63,362.071609,12.712147,9.102501,47,0.052222,17,False,diagnostic_rederived
"[0.635784, 0.281067, 0.773568]","[5.546582, 14.490911, 3.65169]","[4.910798, 14.209844, 2.878122]",0.138235,"[5.223904, 14.33893, 3.211358]",suelo / plano bajo,60,325.53274,14.971442,11.707523,45,0.05,18,False,diagnostic_rederived
"[0.755341, 0.650533, 0.302111]","[-3.619864, 3.320685, -0.004991]","[-4.375205, 2.670152, -0.307103]",0.14845,"[-3.967077, 2.881527, -0.157261]",suelo / plano bajo,51,296.396507,5.064699,11.465013,44,0.048889,19,False,diagnostic_rederived
"[1.184143, 0.455925, 0.463538]","[1.195595, -8.79273, -0.410142]","[0.011452, -9.248655, -0.87368]",0.250255,"[0.532992, -8.986216, -0.600493]",suelo / plano bajo,14,171.824712,9.50526,13.898543,43,0.047778,20,False,diagnostic_rederived
"[0.30168, 0.316926, 1.183351]","[14.635776, -2.335303, -0.157565]","[14.334096, -2.652229, -1.340915]",0.11314,"[14.507957, -2.539188, -0.790432]",vegetacion / fondo vertical,7,371.220312,14.355637,9.585139,42,0.046667,21,False,diagnostic_rederived
"[0.760212, 0.417463, 0.916099]","[8.983166, 17.065029, 1.766304]","[8.222954, 16.647566, 0.850205]",0.290734,"[8.476323, 16.817309, 1.178976]",suelo / plano bajo,58,134.143401,18.200722,14.087803,39,0.043333,22,False,diagnostic_rederived
"[0.681013, 0.714068, 1.108987]","[11.277433, 8.325816, 8.253285]","[10.59642, 7.611748, 7.144299]",0.539289,"[10.980399, 8.010609, 7.612122]",vegetacion / fondo vertical,75,72.317467,14.973056,8.282244,39,0.043333,23,False,diagnostic_rederived
"[0.958148, 0.276219, 0.211123]","[-1.588062, 3.633174, 7.594012]","[-2.54621, 3.356954, 7.382889]",0.055876,"[-2.012517, 3.491689, 7.49518]",suelo / plano bajo,79,680.082099,8.452259,10.588426,38,0.042222,24,False,diagnostic_rederived
"[0.662855, 1.253921, 0.99388]","[5.323799, 4.715719, -5.086351]","[4.660944, 3.461798, -6.080232]",0.826081,"[5.081694, 4.193204, -5.631918]",suelo / plano bajo,65,46.000322,8.145562,8.376538,38,0.042222,25,False,diagnostic_rederived
"[0.636639, 0.625072, 0.200022]","[16.521778, 9.457108, 3.146773]","[15.885139, 8.832036, 2.946751]",0.079598,"[16.260674, 9.15532, 3.061857]",suelo / plano bajo,81,477.400659,18.239748,11.053954,38,0.042222,26,False,diagnostic_rederived
"[0.655999, 0.264377, 0.624514]","[6.22883, 13.853401, 3.228839]","[5.572831, 13.589025, 2.604325]",0.10831,"[5.880853, 13.744327, 2.866902]",suelo / plano bajo,61,350.844873,14.580292,11.003409,38,0.042222,27,False,diagnostic_rederived
"[0.585475, 0.621589, 0.694543]","[5.529716, -7.007096, 0.329278]","[4.944241, -7.628685, -0.365265]",0.252762,"[5.286021, -7.313272, 0.055653]",suelo / plano bajo,54,142.426572,9.162768,10.582918,36,0.04,28,False,diagnostic_rederived
"[0.45326, 0.251184, 0.542937]","[4.699185, 13.642594, 1.845337]","[4.245925, 13.39141, 1.3024]",0.061814,"[4.490596, 13.523213, 1.586165]",suelo / plano bajo,59,566.211079,13.712944,11.05792,35,0.038889,29,False,diagnostic_rederived
"[0.398099, 0.554502, 0.339035]","[9.205874, 12.572517, 1.265003]","[8.807775, 12.018015, 0.925968]",0.074841,"[8.972587, 12.284283, 1.104972]",suelo / plano bajo,1,440.934724,14.555928,9.691286,33,0.036667,30,False,diagnostic_rederived
"[0.579109, 0.663962, 0.237797]","[-3.835282, 7.724748, -0.630058]","[-4.414391, 7.060785, -0.867855]",0.091434,"[-4.116484, 7.395679, -0.747116]",suelo / plano bajo,32,349.977321,8.331896,12.606332,32,0.035556,31,False,diagnostic_rederived
"[0.616904, 0.559659, 0.192794]","[6.187193, 1.851772, 8.077385]","[5.570289, 1.292112, 7.884591]",0.066563,"[5.896164, 1.540671, 7.995295]",suelo / plano bajo,39,480.744831,9.701872,5.938749,32,0.035556,32,False,diagnostic_rederived
"[0.084256, 0.673851, 0.369427]","[7.523646, -4.374335, -0.784933]","[7.43939, -5.048187, -1.15436]",0.020975,"[7.484426, -4.756349, -0.992269]",suelo / plano bajo,11,1477.974369,8.7975,8.29956,31,0.034444,33,False,diagnostic_rederived
