absolute_error_m3,cluster_distribution_top10,cluster_ids,clusters_used,dataset,eps,fragmentation,min_points,pdi_status,percent_error,points_final,points_retained_ratio_dbscan_input,strategy,timing_memory,volume_m3,voxel_size
0.5525,[],"[12, 0, 1]",3,set1,0.5,3,10,ok,0.461416,19958,0.817984,top_k_by_points,[],119.1875,0.07
21.9588,[],"[16, 12, 30]",3,set1,0.5,3,10,ok,18.338734,9997,0.40973,merge_by_bbox_overlap,[],97.7812,0.07
27.3181,[],"[16, 12, 62]",3,set1,0.5,3,10,ok,22.814515,9903,0.405877,merge_by_proximity,[],92.4219,0.07
27.3181,[],"[16, 12, 62]",3,set1,0.5,3,10,ok,22.814515,9903,0.405877,merge_by_cluster_adjacency,[],92.4219,0.07
32.5256,[],"[0, 1, 6]",3,set1,0.5,3,10,ok,27.163521,11327,0.46424,top_k_by_pdi_volume,[],152.2656,0.07
33.6462,[],"[12, 0]",2,set1,0.5,2,10,ok,28.099382,18115,0.742448,current,[],86.0938,0.07
117.4275,[],"[36, 61, 49]",3,set1,0.5,3,10,ok,98.068732,34,0.001393,top_k_by_density,[],2.3125,0.07
117.4275,[],"[36, 61, 71]",3,set1,0.5,3,10,ok,98.068732,32,0.001312,top_k_weighted,[],2.3125,0.07
71.4275,[],"[8, 10, 9]",3,set2,0.5,3,10,ok,59.652163,16832,0.827369,top_k_by_pdi_volume,[],48.3125,0.02
73.1619,[],"[8, 9, 13]",3,set2,0.5,3,10,ok,61.100635,12621,0.620379,merge_by_proximity,[],46.5781,0.02
73.1619,[],"[8, 9, 13]",3,set2,0.5,3,10,ok,61.100635,12621,0.620379,merge_by_bbox_overlap,[],46.5781,0.02
73.1619,[],"[8, 9, 13]",3,set2,0.5,3,10,ok,61.100635,12621,0.620379,merge_by_cluster_adjacency,[],46.5781,0.02
73.8806,[],"[8, 10]",2,set2,0.5,2,10,ok,61.700852,16671,0.819455,current,[],45.8594,0.02
73.8806,[],"[8, 10, 17]",3,set2,0.5,3,10,ok,61.700852,18747,0.9215,top_k_by_points,[],45.8594,0.02
117.8962,[],"[4, 18, 22]",3,set2,0.5,3,10,ok,98.460164,40,0.001966,top_k_by_density,[],1.8438,0.02
117.8962,[],"[4, 18, 23]",3,set2,0.5,3,10,ok,98.460164,37,0.001819,top_k_weighted,[],1.8438,0.02
