absolute_error_m3,cluster_count,cluster_distribution_top10,dataset,eps,min_points,noise_points,noise_ratio,pdi_status,percent_error,points_after_outlier,points_after_voxel,points_retained,selected_cluster_ids,timing_memory,volume_m3,voxel_loss_ratio,voxel_size
47.5994,108,"[9338, 5458, 1823, 1816, 869, 421, 394, 342, 265, 243]",set1,0.25,10,472,0.019345,ok,39.752297,398562,24399,14796,"[20, 2]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.031274, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.09803, ""python_tracemalloc_current_mb"": 0.186356, ""python_tracemalloc_peak_mb"": 0.186798}]",72.1406,0.938782,0.07
47.5994,79,"[9326, 5453, 1823, 1816, 869, 421, 394, 342, 263, 243]",set1,0.25,15,855,0.035042,ok,39.752297,398562,24399,14779,"[17, 2]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.028256, ""python_tracemalloc_current_mb"": 9.9e-05, ""python_tracemalloc_peak_mb"": 9.9e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.100946, ""python_tracemalloc_current_mb"": 0.186356, ""python_tracemalloc_peak_mb"": 0.186798}]",72.1406,0.938782,0.07
48.4119,54,"[9296, 5449, 1812, 1808, 869, 407, 394, 342, 252, 243]",set1,0.25,20,1404,0.057543,ok,40.43085,398562,24399,14745,"[13, 2]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.026014, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.097804, ""python_tracemalloc_current_mb"": 0.186356, ""python_tracemalloc_peak_mb"": 0.186798}]",71.3281,0.938782,0.07
50.365,47,"[9171, 5403, 1803, 1798, 869, 402, 394, 342, 232, 201]",set1,0.25,25,1912,0.078364,ok,42.061968,398562,24399,14574,"[11, 2]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.028182, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.095024, ""python_tracemalloc_current_mb"": 0.186356, ""python_tracemalloc_peak_mb"": 0.186798}]",69.375,0.938782,0.07
50.4275,41,"[9161, 5397, 1796, 1062, 869, 674, 353, 336, 305, 196]",set1,0.25,30,2364,0.096889,ok,42.114164,398562,24399,14558,"[8, 2]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.025524, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.09125, ""python_tracemalloc_current_mb"": 0.186356, ""python_tracemalloc_peak_mb"": 0.186798}]",69.3125,0.938782,0.07
47.5525,97,"[9343, 5458, 2692, 1816, 423, 408, 351, 345, 290, 218]",set1,0.3,10,410,0.016804,ok,39.713128,398562,24399,14801,"[17, 1]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.030454, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.124679, ""python_tracemalloc_current_mb"": 0.186356, ""python_tracemalloc_peak_mb"": 0.186798}]",72.1875,0.938782,0.07
47.5525,72,"[9342, 5458, 2692, 1816, 423, 408, 344, 343, 282, 218]",set1,0.3,15,746,0.030575,ok,39.713128,398562,24399,14800,"[15, 1]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.027878, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.120029, ""python_tracemalloc_current_mb"": 0.186356, ""python_tracemalloc_peak_mb"": 0.186798}]",72.1875,0.938782,0.07
47.5525,53,"[9338, 5457, 2685, 1810, 418, 395, 344, 343, 282, 201]",set1,0.3,20,1185,0.048568,ok,39.713128,398562,24399,14795,"[12, 1]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.02615, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.128829, ""python_tracemalloc_current_mb"": 0.186356, ""python_tracemalloc_peak_mb"": 0.186798}]",72.1875,0.938782,0.07
47.5525,41,"[9338, 5455, 2685, 1810, 411, 395, 344, 333, 282, 201]",set1,0.3,25,1524,0.062462,ok,39.713128,398562,24399,14793,"[11, 1]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.02427, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.11979, ""python_tracemalloc_current_mb"": 0.186356, ""python_tracemalloc_peak_mb"": 0.186798}]",72.1875,0.938782,0.07
48.3025,37,"[9311, 5427, 2683, 1808, 407, 395, 344, 265, 251, 201]",set1,0.3,30,1828,0.074921,ok,40.339486,398562,24399,14738,"[11, 1]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.027234, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.116208, ""python_tracemalloc_current_mb"": 0.186356, ""python_tracemalloc_peak_mb"": 0.186798}]",71.4375,0.938782,0.07
47.5525,92,"[9343, 5458, 2692, 1817, 641, 408, 361, 345, 290, 256]",set1,0.35,10,359,0.014714,ok,39.713128,398562,24399,14801,"[18, 1]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.025787, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.152675, ""python_tracemalloc_current_mb"": 0.186356, ""python_tracemalloc_peak_mb"": 0.186798}]",72.1875,0.938782,0.07
47.5525,70,"[9343, 5458, 2692, 1817, 428, 408, 354, 345, 290, 256]",set1,0.35,15,682,0.027952,ok,39.713128,398562,24399,14801,"[15, 1]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.025278, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.153735, ""python_tracemalloc_current_mb"": 0.186356, ""python_tracemalloc_peak_mb"": 0.186798}]",72.1875,0.938782,0.07
47.5525,51,"[9343, 5458, 2692, 1817, 428, 408, 350, 345, 286, 256]",set1,0.35,20,1089,0.044633,ok,39.713128,398562,24399,14801,"[12, 1]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.023981, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.145674, ""python_tracemalloc_current_mb"": 0.186356, ""python_tracemalloc_peak_mb"": 0.186798}]",72.1875,0.938782,0.07
47.5525,41,"[9343, 5458, 2692, 1813, 428, 398, 350, 341, 286, 256]",set1,0.35,25,1352,0.055412,ok,39.713128,398562,24399,14801,"[11, 1]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.02434, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.148048, ""python_tracemalloc_current_mb"": 0.186356, ""python_tracemalloc_peak_mb"": 0.186798}]",72.1875,0.938782,0.07
47.5525,35,"[9342, 5458, 2688, 1813, 423, 398, 350, 341, 286, 241]",set1,0.35,30,1573,0.06447,ok,39.713128,398562,24399,14800,"[11, 1]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.027991, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.153029, ""python_tracemalloc_current_mb"": 0.186356, ""python_tracemalloc_peak_mb"": 0.186798}]",72.1875,0.938782,0.07
34.5525,84,"[9817, 8159, 1843, 1037, 408, 361, 256, 170, 109, 74]",set1,0.4,10,304,0.01246,ok,28.856272,398562,24399,17976,"[15, 0]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.030925, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.186926, ""python_tracemalloc_current_mb"": 0.186356, ""python_tracemalloc_peak_mb"": 0.186798}]",85.1875,0.938782,0.07
35.1775,63,"[9799, 8152, 1841, 1037, 408, 361, 256, 170, 107, 74]",set1,0.4,15,598,0.024509,ok,29.378236,398562,24399,17951,"[12, 0]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.031822, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.195943, ""python_tracemalloc_current_mb"": 0.186356, ""python_tracemalloc_peak_mb"": 0.186798}]",84.5625,0.938782,0.07
35.1775,43,"[9799, 8152, 1841, 1037, 408, 358, 256, 170, 74, 67]",set1,0.4,20,995,0.04078,ok,29.378236,398562,24399,17951,"[10, 0]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.028173, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.196347, ""python_tracemalloc_current_mb"": 0.186356, ""python_tracemalloc_peak_mb"": 0.186798}]",84.5625,0.938782,0.07
41.6931,37,"[9345, 8152, 1822, 608, 454, 429, 408, 358, 256, 170]",set1,0.4,25,1222,0.050084,ok,34.819693,398562,24399,17497,"[11, 0]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.030288, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.188949, ""python_tracemalloc_current_mb"": 0.186356, ""python_tracemalloc_peak_mb"": 0.186798}]",78.0469,0.938782,0.07
