absolute_error_m3,cluster_count,cluster_distribution_top10,dataset,eps,min_points,noise_points,noise_ratio,pdi_status,percent_error,points_after_outlier,points_after_voxel,points_final,selected_cluster_ids,timing_memory,volume_m3,voxel_loss_ratio,voxel_size
50.1775,130,"[184286, 86550, 41731, 10008, 5181, 2467, 1687, 1448, 1236, 1089]",set1,0.35,20,184,0.000527,ok,41.905378,398562,349058,270836,"[34, 1]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.421629, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 104.467008, ""python_tracemalloc_current_mb"": 2.663307, ""python_tracemalloc_peak_mb"": 2.66375}]",69.5625,0.124207,0.01
49.4588,117,"[77869, 41722, 20929, 8472, 2178, 2160, 1302, 907, 842, 624]",set1,0.35,20,402,0.002405,ok,41.305161,398562,167185,119591,"[33, 1]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.441816, ""python_tracemalloc_current_mb"": 9.9e-05, ""python_tracemalloc_peak_mb"": 9.9e-05}, {""stage"": ""dbscan"", ""time_seconds"": 9.754238, ""python_tracemalloc_current_mb"": 1.275726, ""python_tracemalloc_peak_mb"": 1.276169}]",70.2812,0.58053,0.02
48.1775,96,"[40534, 22748, 11372, 6044, 1642, 1221, 854, 814, 587, 571]",set1,0.35,20,695,0.007423,ok,40.235093,398562,93632,63282,"[31, 1]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.095338, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 2.7989, ""python_tracemalloc_current_mb"": 0.714561, ""python_tracemalloc_peak_mb"": 0.715004}]",71.5625,0.765075,0.03
48.5212,79,"[24701, 14244, 7134, 4244, 1246, 824, 680, 626, 574, 480]",set1,0.35,20,801,0.013347,ok,40.522131,398562,60015,38945,"[20, 1]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.077703, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.986324, ""python_tracemalloc_current_mb"": 0.458084, ""python_tracemalloc_peak_mb"": 0.458527}]",71.2188,0.849421,0.04
49.3338,68,"[16804, 9767, 4878, 3143, 954, 561, 530, 512, 473, 384]",set1,0.35,20,954,0.022648,ok,41.200768,398562,42123,26571,"[2, 1]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.049585, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.671167, ""python_tracemalloc_current_mb"": 0.321579, ""python_tracemalloc_peak_mb"": 0.322021}]",70.4062,0.894313,0.05
47.7088,60,"[12247, 7156, 3552, 2402, 533, 450, 417, 407, 373, 321]",set1,0.35,20,1008,0.032036,ok,39.843661,398562,31465,19403,"[14, 1]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.036897, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.268064, ""python_tracemalloc_current_mb"": 0.240265, ""python_tracemalloc_peak_mb"": 0.240707}]",72.0312,0.921054,0.06
47.5525,51,"[9343, 5458, 2692, 1817, 428, 408, 350, 345, 286, 256]",set1,0.35,20,1089,0.044633,ok,39.713128,398562,24399,14801,"[12, 1]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.030471, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.158786, ""python_tracemalloc_current_mb"": 0.186356, ""python_tracemalloc_peak_mb"": 0.186798}]",72.1875,0.938782,0.07
47.9744,42,"[7402, 4272, 2231, 1505, 366, 326, 295, 280, 245, 207]",set1,0.35,20,1119,0.05671,ok,40.065475,398562,19732,11674,"[10, 1]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.029237, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.108326, ""python_tracemalloc_current_mb"": 0.150749, ""python_tracemalloc_peak_mb"": 0.151192}]",71.7656,0.950492,0.08
48.0369,38,"[5965, 3502, 1741, 1227, 284, 282, 248, 240, 213, 196]",set1,0.35,20,1084,0.067034,ok,40.117672,398562,16171,9467,"[5, 1]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.024472, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.072295, ""python_tracemalloc_current_mb"": 0.123581, ""python_tracemalloc_peak_mb"": 0.124023}]",71.7031,0.959427,0.09
48.5212,34,"[4923, 2934, 1464, 1023, 247, 241, 219, 177, 166, 164]",set1,0.35,20,1137,0.083517,ok,40.522131,398562,13614,7857,"[6, 0]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.023292, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.05559, ""python_tracemalloc_current_mb"": 0.104073, ""python_tracemalloc_peak_mb"": 0.104515}]",71.2188,0.965842,0.1
